title,url,date
Губернатор Подмосковья и гендиректор ПАО «МегаФон» подписали соглашение о сотрудничестве на ПМЭФ-2025,https://mosreg.ru/sobytiya/novosti/news-submoscow/gubernator-podmoskovya-i-gendirektor-pao-megafon-podpisali-soglashenie-o-sotrudnichestve-na-pmef,
"""МегаФон"" запустил прослушку",https://www.comnews.ru/content/239834/2025-06-25/2025-w26/1008/megafon-zapustil-proslushku,
Промсвязьбанк открывает офисы в салонах «МегаФона» 11.03.2025,https://www.banki.ru/news/lenta/?id=11011952,
"Чистый долг ""Мегафона"" в 2024 году вырос на 31% до 522,6 млрд рублей",https://www.interfax.ru/business/1018823,
"МТС, «Билайн», «Мегафон» и Т2 отказались от части частот для 4G: Мешает цифровое ТВ",https://www.cnews.ru/news/top/2025-07-04_mtsbilajnmegafon_i,
«Ведомости» сообщили о жалобах абонентов «Мегафона» на повышение цен,https://www.forbes.ru/biznes/530768-vedomosti-soobsili-o-povysenii-megafonom-cen-na-svaz-na-20,
Лекция генерального директора ПАО «МегаФон» Х.Э.Помбухчана,https://mgimo.ru/about/news/announce/pombukhchan/,
МегаФон: в апреле спрос на спортивную обувь вырос на 63%,https://new-retail.ru/novosti/retail/megafon_v_aprele_spros_na_sportivnuyu_obuv_vyros_na_63/,
«МегаФон Таргет» добавил 18 параметров для еще более точной сегментации аудитории,https://adindex.ru/news/releases/2025/06/30/334870.phtml,
#Победа80: К юбилею Победы Мегафон обнулил трафик на сайты о героях войны,https://75.ru/news/403987,
Губернатор обсудил с руководством ПАО «Мегафон» в СЗФО реализацию совместных проектов,https://pskov.ru/novosti/08.11.24/161647,
"ФАС проверит обоснованность повышения тарифов ""Мегафоном""",https://www.interfax.ru/russia/1007738,
"Единение операторов и банков. ПСБ откроет офис в салоне ""МегаФона""",https://www.comnews.ru/content/238199/2025-03-12/2025-w11/1008/edinenie-operatorov-i-bankov-psb-otkroet-ofis-salone-megafona,
«МегаФон» нарастил интернет-скорости в самом гостеприимном селе Хабаровского края,https://www.cnews.ru/news/line/2025-07-07_megafon_narastil_internet-skorosti,
"Брендлокатор. Подрядчиков ищут: КАМАЗ, «МегаФон», БКС | Эккаунты | Новости",https://adindex.ru/news/ek/2025/07/17/335502.phtml,
"В «МегаФоне» рассказали, за что могут заблокировать сим-карту 03.07.2025",https://www.banki.ru/news/lenta/?id=11015576,
«МегаФон» ускорил мобильный интернет для 100 тысяч жителей ЖК столичного региона,https://www.cnews.ru/news/line/2025-07-03_megafon_uskoril_mobilnyj,
"«МегаФон» объяснил, как избавиться от спам-звонков",https://www.banki.ru/news/lenta/?id=11014727,
«МегаФон» обеспечил цифровую связь в аэропорту острова Итуруп,https://www.cnews.ru/news/line/2025-07-03_megafon_obespechil_tsifrovuyu,
«МегаФон» запустил 4G в Тымлате на берегу Берингова моря,https://www.cnews.ru/news/line/2025-07-18_megafon_zapustil_4g_v_tymlate,
МегаФон поддержит российский футбол,https://www.computerra.ru/316659/megafon-podderzhit-rossijskij-futbol/,
«МегаФон» расширил сеть в популярных туристических селах Алтая – Иогач и Элекмонар,https://www.cnews.ru/news/line/2025-07-04_megafon_rasshiril_set,
«МегаФон» подключил к мобильной сети 49 населенных пунктов Орловской области,https://www.cnews.ru/news/line/2025-07-18_megafon_podklyuchil_k_mobilnoj,
«Мегафон» заканчивает строительство 5-МВт ЦОД в Новосибирске,https://servernews.ru/1124699,
МегаФон и ММК создадут цифровой склад для коксохимического производства,https://www.computerra.ru/316825/megafon-i-mmk-sozdadut-tsifrovoj-sklad-dlya-koksohimicheskogo-proizvodstva/,
"Подборка тендеров: МТС, Ozon, «МегаФон» и другие",https://www.sostav.ru/publication/podborka-tendera-73628.html,
«МегаФон» повысил качество мобильных услуг для 50 тысяч сельчан Ставрополья,https://www.cnews.ru/news/line/2025-07-16_megafon_povysil_kachestvo,
Мегафон» завершает строительство крупнейшего в Сибири центра обработки данных,https://mashnews.ru/megafon-zavershaet-stroitelstvo-krupnejshego-v-sibiri-czentra-obrabotki-dannyix.html,
Новый директор «МегаФона» в Магадане и Чукотке,https://www.cnews.ru/news/line/2025-07-17_novyj_direktor_megafona,
"Акционеры ""Мегафона"" утвердили дивиденды за 2024 год на сумму 15,7 млрд рублей",https://www.interfax.ru/business/1020714,
«МегаФон» и «Почта Mail» фиксируют существенный рост мошеннических действий,https://new-retail.ru/novosti/retail/megafon_i_pochta_mail_fiksiruyut_sushchestvennyy_rost_moshennicheskikh_deystviy8976/,
«МегаФон»: москвичи переключились с театров на кино,https://www.cnews.ru/news/line/2025-07-11_megafon_moskvichi_pereklyuchilis,
"""МегаФон"" открыл закупочную платформу",https://www.comnews.ru/content/239231/2025-05-16/2025-w20/1008/megafon-otkryl-zakupochnuyu-platformu,
"""Мегафон"" в 2024 году нарастил выручку на 9,4%, до 485,9 млрд рублей",https://www.interfax.ru/business/1012584,
«МегаФон» построил дата-центры на Урале и в Центральной России,https://new-retail.ru/novosti/retail/megafon_postroil_data_tsentry_na_urale_i_v_tsentralnoy_rossii1882/,
«МегаФон» ускорил интернет на участке трассы М‑8 в Вологодской области,https://www.cnews.ru/news/line/2025-07-16_megafon_uskoril_internet_1,
Пользователи МТС и «МегаФона» массово жалуются на проблемы со связью,https://www.ixbt.com/news/2025/07/01/polzovateli-mts-i-megafona-massovo-zhalujutsja-na-problemy-so-svjazju.html,
